time to bug,line coverage,total lines,branch covarege,total branches,executions,benchmark,tool,subject,task_profile,container_profile,bug_id,trial_id,hash
-1,0,0,0,0,0,microfuzz,Robsterbobster_Submission_v2,bugs,6min,CP1,4,0,ca64df34
-1,0,0,0,0,0,microfuzz,amrithaanilnus_fuzzer,bugs,6min,CP1,1,1,abefdb42
-1,0,0,0,0,0,microfuzz,amrithaanilnus_fuzzer,bugs,6min,CP1,2,1,46767cab
-1,0,0,0,0,0,microfuzz,amrithaanilnus_fuzzer,bugs,6min,CP1,4,0,c236579a
0,0,0,0,0,0,microfuzz,Robsterbobster_Submission_v2,bugs,6min,CP1,1,0,fc3b45d2
-1,0,0,0,0,0,microfuzz,amrithaanilnus_fuzzer,bugs,6min,CP1,4,1,cf9aae6c
-1,0,0,0,0,0,microfuzz,Robsterbobster_Submission_v2,bugs,6min,CP1,3,0,c6898e46
-1,0,0,0,0,0,microfuzz,Robsterbobster_Submission_v2,bugs,6min,CP1,2,0,85c68f42
-1,0,0,0,0,0,microfuzz,amrithaanilnus_fuzzer,bugs,6min,CP1,3,1,afd61b49
0,0,0,0,0,0,microfuzz,Robsterbobster_Submission_v2,bugs,6min,CP1,1,1,cda6261e
-1,0,0,0,0,0,microfuzz,amrithaanilnus_fuzzer,bugs,6min,CP1,1,0,bfd7becb
-1,0,0,0,0,0,microfuzz,Robsterbobster_Submission_v2,bugs,6min,CP1,3,1,43cacb0e
-1,0,0,0,0,0,microfuzz,amrithaanilnus_fuzzer,bugs,6min,CP1,2,0,6e50c236
-1,0,0,0,0,0,microfuzz,amrithaanilnus_fuzzer,bugs,6min,CP1,3,0,c7f1afaa
-1,0,0,0,0,0,microfuzz,Robsterbobster_Submission_v2,bugs,6min,CP1,4,1,94af6ea0
-1,0,0,0,0,0,microfuzz,Robsterbobster_Submission_v2,bugs,6min,CP1,2,1,a9aa45c1
